Date : 2024-12-27 02:47:07
Directory : c:\Dev\fullstack\fullstack-front
Total : 99 files,  26517 codes, 116 comments, 1185 blanks, all 27818 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Dev\fullstack\fullstack-front\src\administration\countries\Countries.js                    | JavaScript |         71 |          0 |          7 |         78 |
| c:\Dev\fullstack\fullstack-front\src\administration\countries\EditCountry.js                  | JavaScript |        104 |          1 |         12 |        117 |
| c:\Dev\fullstack\fullstack-front\src\administration\drivetrains\AddDrivetrain.js              | JavaScript |         69 |          0 |          9 |         78 |
| c:\Dev\fullstack\fullstack-front\src\administration\drivetrains\Drivetrains.js                | JavaScript |         62 |          0 |          7 |         69 |
| c:\Dev\fullstack\fullstack-front\src\administration\drivetrains\EditDrivetrain.js             | JavaScript |         82 |          1 |         11 |         94 |
| c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\AddEngineType.js              | JavaScript |         69 |          0 |          9 |         78 |
| c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\EditEngineType.js             | JavaScript |         82 |          1 |         11 |         94 |
| c:\Dev\fullstack\fullstack-front\src\administration\engineTypes\EngineTypes.js                | JavaScript |         62 |          0 |          7 |         69 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\AddEngine.js                      | JavaScript |        181 |          4 |         29 |        214 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\EditEngine.js                     | JavaScript |        211 |          5 |         28 |        244 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\Engines.js                        | JavaScript |         54 |          0 |          7 |         61 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\ListEngine.js                     | JavaScript |         63 |          0 |          9 |         72 |
| c:\Dev\fullstack\fullstack-front\src\administration\engines\ViewEngine.js                     | JavaScript |         81 |          0 |         13 |         94 |
| c:\Dev\fullstack\fullstack-front\src\administration\fuels\AddFuel.js                          | JavaScript |         69 |          0 |          9 |         78 |
| c:\Dev\fullstack\fullstack-front\src\administration\fuels\EditFuel.js                         | JavaScript |         82 |          1 |         11 |         94 |
| c:\Dev\fullstack\fullstack-front\src\administration\fuels\Fuels.js                            | JavaScript |         62 |          0 |          7 |         69 |
| c:\Dev\fullstack\fullstack-front\src\administration\markets\AddMarket.js                      | JavaScript |         87 |          2 |         12 |        101 |
| c:\Dev\fullstack\fullstack-front\src\administration\markets\EditMarket.js                     | JavaScript |         79 |          0 |         11 |         90 |
| c:\Dev\fullstack\fullstack-front\src\administration\markets\Markets.js                        | JavaScript |         65 |          0 |          7 |         72 |
| c:\Dev\fullstack\fullstack-front\src\administration\roles\AddRole.js                          | JavaScript |         62 |          0 |          9 |         71 |
| c:\Dev\fullstack\fullstack-front\src\administration\roles\EditRole.js                         | JavaScript |         81 |          0 |         14 |         95 |
| c:\Dev\fullstack\fullstack-front\src\administration\roles\Roles.js                            | JavaScript |         83 |          0 |          9 |         92 |
| c:\Dev\fullstack\fullstack-front\src\administration\roles\ViewRole.js                         | JavaScript |         37 |          0 |          7 |         44 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\AddTransmissionType.js  | JavaScript |         69 |          0 |          9 |         78 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\EditTransmissionType.js | JavaScript |         82 |          1 |         11 |         94 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissionTypes\TransmissionTypes.js    | JavaScript |         62 |          0 |          7 |         69 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\AddTransmission.js          | JavaScript |        126 |          2 |         23 |        151 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\EditTransmission.js         | JavaScript |        147 |          3 |         21 |        171 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ListTransmission.js         | JavaScript |         63 |          0 |          9 |         72 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\Transmissions.js            | JavaScript |         54 |          0 |          7 |         61 |
| c:\Dev\fullstack\fullstack-front\src\administration\transmissions\ViewTransmission.js         | JavaScript |         77 |          0 |         13 |         90 |
| c:\Dev\fullstack\fullstack-front\src\administration\users\EditUser.js                         | JavaScript |        143 |          1 |         14 |        158 |
| c:\Dev\fullstack\fullstack-front\src\administration\users\Users.js                            | JavaScript |        118 |          0 |         10 |        128 |
| c:\Dev\fullstack\fullstack-front\src\administration\users\ViewUser.js                         | JavaScript |         54 |          0 |          6 |         60 |
| c:\Dev\fullstack\fullstack-front\src\autosport\Autosport.js                                   | JavaScript |         20 |          0 |          4 |         24 |
| c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\AddBodystyle.js                       | JavaScript |        221 |          6 |         34 |        261 |
| c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\EditBodystyle.js                      | JavaScript |        253 |          1 |         37 |        291 |
| c:\Dev\fullstack\fullstack-front\src\catalog\bodystyles\ViewBodystyle.js                      | JavaScript |         81 |          0 |         15 |         96 |
| c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\AddFacelift.js                         | JavaScript |         74 |          0 |         11 |         85 |
| c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\EditFacelift.js                        | JavaScript |        127 |          1 |         16 |        144 |
| c:\Dev\fullstack\fullstack-front\src\catalog\facelifts\ViewFacelift.js                        | JavaScript |          0 |          0 |          1 |          1 |
| c:\Dev\fullstack\fullstack-front\src\catalog\generations\AddGeneration.js                     | JavaScript |        126 |          2 |         13 |        141 |
| c:\Dev\fullstack\fullstack-front\src\catalog\generations\EditGeneration.js                    | JavaScript |        168 |          1 |         17 |        186 |
| c:\Dev\fullstack\fullstack-front\src\catalog\generations\ViewGeneration.js                    | JavaScript |         76 |          1 |          8 |         85 |
| c:\Dev\fullstack\fullstack-front\src\catalog\makes\AddMake.js                                 | JavaScript |        128 |          2 |         19 |        149 |
| c:\Dev\fullstack\fullstack-front\src\catalog\makes\EditMake.js                                | JavaScript |        165 |          1 |         17 |        183 |
| c:\Dev\fullstack\fullstack-front\src\catalog\makes\ViewMake.js                                | JavaScript |         86 |          0 |         14 |        100 |
| c:\Dev\fullstack\fullstack-front\src\catalog\models\AddModel.js                               | JavaScript |         90 |          0 |         10 |        100 |
| c:\Dev\fullstack\fullstack-front\src\catalog\models\EditModel.js                              | JavaScript |        114 |          1 |         16 |        131 |
| c:\Dev\fullstack\fullstack-front\src\catalog\models\ViewModel.js                              | JavaScript |         53 |          3 |          9 |         65 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddPhoto.js                                | JavaScript |         54 |          0 |         10 |         64 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\AddTrim.js                                 | JavaScript |        340 |         14 |         38 |        392 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\DeletePhoto.js                             | JavaScript |         23 |          1 |          5 |         29 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\EditTrim.js                                | JavaScript |        466 |         14 |         52 |        532 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\PhotoManagement.js                         | JavaScript |         54 |          3 |          9 |         66 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\SetMainPhoto.js                            | JavaScript |         23 |          1 |          6 |         30 |
| c:\Dev\fullstack\fullstack-front\src\catalog\trims\ViewTrim.js                                | JavaScript |        206 |          0 |         24 |        230 |
| c:\Dev\fullstack\fullstack-front\src\components\ColumnContainer.css                           | CSS        |         30 |          1 |          8 |         39 |
| c:\Dev\fullstack\fullstack-front\src\components\ColumnList.css                                | CSS        |         15 |          0 |          4 |         19 |
| c:\Dev\fullstack\fullstack-front\src\components\ColumnListMakes.js                            | JavaScript |         47 |          0 |          7 |         54 |
| c:\Dev\fullstack\fullstack-front\src\components\ColumnListModels.js                           | JavaScript |         47 |          0 |          7 |         54 |
| c:\Dev\fullstack\fullstack-front\src\index.css                                                | CSS        |         12 |          0 |          2 |         14 |
| c:\Dev\fullstack\fullstack-front\src\index.js                                                 | JavaScript |         12 |          3 |          4 |         19 |
| c:\Dev\fullstack\fullstack-front\src\layout\Footer.js                                         | JavaScript |         26 |          0 |         22 |         48 |
| c:\Dev\fullstack\fullstack-front\src\layout\Navbar.js                                         | JavaScript |         62 |          0 |          5 |         67 |
| c:\Dev\fullstack\fullstack-front\src\logo.svg                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Dev\fullstack\fullstack-front\src\pages\Catalog.js                                         | JavaScript |         65 |          0 |          9 |         74 |
| c:\Dev\fullstack\fullstack-front\src\pages\Home.js                                            | JavaScript |          2 |          0 |          3 |          5 |
| c:\Dev\fullstack\fullstack-front\src\pages\ImageUpload.js                                     | JavaScript |         30 |          0 |          7 |         37 |
| c:\Dev\fullstack\fullstack-front\src\reportWebVitals.js                                       | JavaScript |         12 |          0 |          2 |         14 |
| c:\Dev\fullstack\fullstack-front\src\setupTests.js                                            | JavaScript |          1 |          4 |          1 |          6 |
| c:\Dev\fullstack\fullstack-front\src\spots\AddSpot.css                                        | CSS        |         10 |          0 |          1 |         11 |
| c:\Dev\fullstack\fullstack-front\src\spots\AddSpot.js                                         | JavaScript |        200 |          0 |         26 |        226 |
| c:\Dev\fullstack\fullstack-front\src\spots\EditSpot.js                                        | JavaScript |        426 |          2 |         53 |        481 |
| c:\Dev\fullstack\fullstack-front\src\spots\Spots.js                                           | JavaScript |         64 |          0 |          6 |         70 |
| c:\Dev\fullstack\fullstack-front\src\spots\ViewSpot.js                                        | JavaScript |        166 |          4 |         20 |        190 |
| c:\Dev\fullstack\fullstack-front\src\users\Dashboard.js                                       | JavaScript |         24 |          0 |          5 |         29 |
| c:\Dev\fullstack\fullstack-front\src\users\Login.js                                           | JavaScript |         14 |          1 |          4 |         19 |
| c:\Dev\fullstack\fullstack-front\src\users\Profile.js                                         | JavaScript |         70 |          2 |          9 |         81 |
| Total                                                                                         |            |     26,517 |        116 |      1,185 |     27,818 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
